Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Электрослесарь по ремонту оборудования распределительных устройств,115,от 118 000 KZT на руки,не требуется,"ОАО Павлодарская Распределительная Электросетевая Компания, АО",Вакансия опубликована 25 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80991225
Инженер-химик,79,от 180 000 KZT на руки,не требуется,ТОО Жана Роса,Вакансия опубликована 18 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",Контроль качества;Работа на производстве;,https://almaty.hh.kz/vacancy/80229635
Фармацевт-провизор (г.Астана),133,от 200 000 KZT на руки,не требуется,ИП Сайлыбаева,Вакансия опубликована 26 мая 2023 в Павлодаре,Алматы,сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/79985021
Оператор - свиновод,85,з/п не указана,не требуется,ТОО Рубиком,Вакансия опубликована 17 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",Свиноводство;Слежение за сохранностью поголовья;Умение работать в команде;,https://almaty.hh.kz/vacancy/80548745
Кухонный рабочий,40,з/п не указана,не требуется,ТОО СЕРВИСНЫЙ ЦЕНТР ERG,Вакансия опубликована 11 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80293383
Врач-педиатр,24,з/п не указана,не требуется,ТОО СЕРВИСНЫЙ ЦЕНТР ERG,Вакансия опубликована 18 мая 2023 в Павлодаре,Алматы,полный день,"Частичная занятость, полный день",Пользователь ПК;Медицинская документация;Ведение документации;Работа в команде;Умение работать в команде;,https://almaty.hh.kz/vacancy/80625102
Электрик (электромонтажник),143,от 160 000 KZT на руки,не требуется,ТОО Павлодарский завод рудничной автоматики,Вакансия опубликована 23 мая 2023 в Павлодаре,"Павлодар, улица Малайсары Батыра, 74",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80855641
Администратор,8,от 500 USD на руки,не требуется,ООО Флора-Ф,Вакансия опубликована 18 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80625809
Мерчендайзер,77,от 200 000 до 250 000 KZT на руки,не требуется,ИП Талан,Вакансия опубликована 3 мая 2023 в Павлодаре,Павлодар,полный день,"Полная занятость, полный день",Работа в команде;Грамотная речь;Способность обучать других;Электронная почта;,https://almaty.hh.kz/vacancy/80059769
"Кредитный специалист, г. Павлодар",57,з/п не указана,не требуется,ТОО Микрофинансовая Организация Береке,Вакансия опубликована 15 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80436526
Мойщик тары,40,з/п не указана,не требуется,"ФудМастер, ТМ",Вакансия опубликована 16 мая 2023 в Павлодаре,"Павлодар, улица Академика Бектурова, 139",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80476004
Администратор салона красоты,8,от 120 000 до 150 000 KZT на руки,не требуется,ИП Лисицын А.В.,Вакансия опубликована 8 мая 2023 в Павлодаре,Павлодар,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80194117
Медицинская сестра/медицинский брат,64,от 220 000 до 260 000 KZT до вычета налогов,не требуется,ТОО Стигма Павлодар,Вакансия опубликована 25 мая 2023 в Павлодаре,"Павлодар, Набережная улица, 11/1",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80997570
Администратор ресепшен,8,от 130 000 до 150 000 KZT на руки,не требуется,ИП Гюрджян А.Х.,Вакансия опубликована 28 мая 2023 в Павлодаре,"Павлодар, улица Путейский городок, 2/7к1",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/81171710
Администратор ресепшен,8,з/п не указана,не требуется,ТОО Гостиничный комплекс ИРТЫШ,Вакансия опубликована 15 мая 2023 в Павлодаре,"Павлодар, улица Академика Бектурова, 79",полный день,"Полная занятость, полный день",Грамотная речь;Пользователь ПК;Работа в команде;Коммуникабельность;Многозадачность;,https://almaty.hh.kz/vacancy/80402368
Торговый агент,129,от 150 000 до 800 000 KZT на руки,не требуется,ИП Кабыш К.А.,Вакансия опубликована 17 мая 2023 в Павлодаре,"село Кенжеколь, улица Баян Батыра",полный день,"Полная занятость, полный день",Заключение договоров;Контроль сроков годности;MS Paint;Ведение переговоров;Активные продажи;Развитие продаж;,https://almaty.hh.kz/vacancy/80577930
Менеджер по государственным закупкам,66,от 400 000 до 1 000 000 KZT до вычета налогов,не требуется,ТОО Производственная компания QazBioTech,Вакансия опубликована 11 мая 2023 в Павлодаре,"Павлодар, улица Катаева, 24",полный день,"Полная занятость, полный день","Ведение переговоров;Письменный перевод;Деловая переписка;Ведение переписки на иностранном языке;Устный перевод;Деловое общение;Телефонные переговоры;Составление договоров;Перевод;Английский язык;Грамотная речь;Поиск информации в интернет;Грамотность;Высшее образование;Работа в команде;Оперативный поиск информации в сети Интернет;Коммуникабельность, стрессоустойчивость;Работа в условиях многозадачности;Высокая энергичность;Работа с компьютером;Умение добиваться поставленных целей;возможность работать с разнообразной информацией и быстро ее усваивать;Умение эффективно планировать свое время;Серьезность;Стремление к профессиональному развитию;Ответственность и пунктуальность;Сосредоточенность;Опытный пользователь ПК;",https://almaty.hh.kz/vacancy/80269275
Преподаватель английского языка,132,з/п не указана,не требуется,ИП Языковой центр WELCOME,Вакансия опубликована 21 мая 2023 в Павлодаре,"Павлодар, улица Академика Сатпаева, 136",гибкий график,"Полная занятость, гибкий график",E9,https://almaty.hh.kz/vacancy/78436038
Менеджер по подбору персонала / Рекрутёр,69,от 350 000 до 500 000 KZT до вычета налогов,не требуется,ИП СМАГУЛОВ Б. М,Вакансия опубликована 16 мая 2023 в Павлодаре,Алматы,гибкий график,"Полная занятость, гибкий график",Умение работать с людьми;Работа в команде;Высокая ответственность;Подбор персонала;проведение групповых интервью;Работа с базами данных;Составление планов по подбору;Первичная адаптация;Организация стажировок;,https://almaty.hh.kz/vacancy/80512566
Электрик,143,от 250 000 до 300 000 KZT на руки,не требуется,ТОО СК ТРИУМФ - 9,Вакансия опубликована 22 мая 2023 в Павлодаре,Павлодар,полный день,"Частичная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80849381
Медсестра/Медбрат,64,от 140 000 до 180 000 KZT на руки,не требуется,ТОО АйБЭК,Вакансия опубликована 29 апреля 2023 в Павлодаре,"Павлодар, улица Академика Бектурова, 109",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/79937361
Помощник частного судебного исполнителя,146,от 100 000 до 120 000 KZT до вычета налогов,не требуется,ЧСИ Букуров А.Ю.,Вакансия опубликована 1 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",Пользователь ПК;Делопроизводство;Знание MS Office;оформление документации;Грамотная письменная речь;,https://almaty.hh.kz/vacancy/79952169
Лаборант - технолог,168,от 210 000 до 230 000 KZT до вычета налогов,не требуется,ТОО Best Milk,Вакансия опубликована 12 мая 2023 в Павлодаре,Павлодар,полный день,"Полная занятость, полный день",Поиск информации в интернет;Internet;Умение работать в коллективе;Навыки работы с первичной документацией;Анализ текущей ситуации;Работа в условиях многозадачности;Упорство;Энтузиазм;Добропорядочность;Ответственность и пунктуальность;,https://almaty.hh.kz/vacancy/80358071
Санитарка постовая / Санитар постовой,40,от 135 000 до 182 000 KZT до вычета налогов,не требуется,"КГП на ПХВ Хоспис Павлодарской области управления здравоохранения Павлодарской области, акимата Павлодарской области",Вакансия опубликована 16 мая 2023 в Павлодаре,"Павлодар, улица Ломова, 49",сменный график,"Полная занятость, сменный график",Навыки межличностного общения;Деловое общение;,https://almaty.hh.kz/vacancy/80495613
Мастер лазерной эпиляции,40,от 100 000 до 120 000 KZT на руки,не требуется,ИП PILLARS KZ,Вакансия опубликована 3 мая 2023 в Павлодаре,Алматы,сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80028097
Старший контролер,40,от 184 000 до 230 000 KZT до вычета налогов,не требуется,ТОО МолКом-Павлодар,Вакансия опубликована 5 мая 2023 в Павлодаре,"Павлодар, улица Космонавтов, 1/2",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80150937
Менеджер по продажам,40,от 200 000 KZT до вычета налогов,не требуется,ТОО СК Рахат,Вакансия опубликована 23 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",Ведение переговоров;Заключение договоров;Навыки продаж;Деловая переписка;Ведение активных клиентов;Казахский — C1 — Продвинутый;Русский — C1 — Продвинутый;,https://almaty.hh.kz/vacancy/80866444
Инженер-эколог,45,з/п не указана,не требуется,ТОО Экологический центр-PV,Вакансия опубликована 19 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80716925
Медицинская сестра/медицинский брат,64,от 140 000 до 150 000 KZT на руки,не требуется,ТОО Частная клиника Искакова,Вакансия опубликована 24 мая 2023 в Павлодаре,"Павлодар, улица Гагарина, 16",полный день,"Полная занятость, полный день",Пользователь ПК;,https://almaty.hh.kz/vacancy/79715232
Лифтер,40,от 80 000 KZT до вычета налогов,не требуется,ТОО Жилищный лифт и Компания,Вакансия опубликована 4 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",Ответственность;,https://almaty.hh.kz/vacancy/80095371
Операционист-кассир в г. Павлодар,137,от 120 000 до 150 000 KZT на руки,не требуется,ТОО Микрофинансовая организация Finbox,Вакансия опубликована 18 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80633553
Печатник флексографской печати,40,от 130 000 до 310 000 KZT на руки,не требуется,ТОО фирма Диалон,Вакансия опубликована 15 мая 2023 в Павлодаре,"Павлодар, улица Центральная промзона, 1739",полный день,"Полная занятость, полный день",Творческое мышление;Ведение документации;Монтаж оборудования;Обучение;Доброжелательность;,https://almaty.hh.kz/vacancy/80410753
Монтажник,78,от 150 000 до 150 000 KZT на руки,не требуется,ТОО Envol,Вакансия опубликована 16 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",Работа в команде;,https://almaty.hh.kz/vacancy/80492022
Слесарь-сантехник,115,от 170 000 до 250 000 KZT на руки,не требуется,ИП ТАЗА,Вакансия опубликована 25 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81038041
Санитарка / Санитар,40,з/п не указана,не требуется,ИП Бектемиров,Вакансия опубликована 3 мая 2023 в Павлодаре,Алматы,сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80019762
Техник метеоролог метеорологической станции Красноармейка,40,от 120 000 до 120 000 KZT до вычета налогов,не требуется,ФИЛИАЛ РГП КАЗДГИДРОМЕТ ПО ПАВЛОДАРСКОЙ ОБЛАСТИ,Вакансия опубликована 17 мая 2023 в Павлодаре,Алматы,сменный график,"Полная занятость, сменный график",Мотивированность на результат обучения;Работа с большим объемом информации;Работа с компьютером;Высокая ответственность;Сбор и анализ информации;Русский — C1 — Продвинутый;Казахский — A1 — Начальный;,https://almaty.hh.kz/vacancy/80560358
Повар в мясной цех,94,от 160 000 KZT на руки,не требуется,ТОО BURЖУЙ,Вакансия опубликована 19 мая 2023 в Павлодаре,Алматы,сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80684972
Аппаратчик обработки зерна,40,от 190 000 до 191 500 KZT до вычета налогов,не требуется,ТОО Павлодарская нива,Вакансия опубликована 10 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день","Умение работать в команде;Желание учиться новому;Коммуникабельность, стрессоустойчивость;",https://almaty.hh.kz/vacancy/80205366
Механик-наладчик,173,от 150 000 до 230 000 KZT на руки,не требуется,ТОО Дом Печати,Вакансия опубликована 11 мая 2023 в Павлодаре,"Павлодар, улица Астана, 143",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80273511
Слесарь-сборщик (монтажник) на производство,115,от 160 000 KZT на руки,не требуется,ТОО Павлодарский завод рудничной автоматики,Вакансия опубликована 23 мая 2023 в Павлодаре,"Павлодар, улица Малайсары Батыра, 74",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80855620
Менеджер-администратор,8,от 150 000 до 200 000 KZT до вычета налогов,не требуется,ИП Easy Music,Вакансия опубликована 3 мая 2023 в Павлодаре,"Павлодар, улица Торайгырова",полный день,"Полная занятость, полный день",Стрессоустойчивость;Дружелюбие;Знание пк;Работа в команде;Грамотная речь;Instagram;,https://almaty.hh.kz/vacancy/80023326
Администратор СПА зоны,8,до 150 000 KZT на руки,не требуется,ИП Нурмагамбетова Г.С.,Вакансия опубликована 3 мая 2023 в Павлодаре,"Павлодар, улица Естая, 33",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80016533
Помощник главного бухгалтера,18,от 100 000 до 100 000 KZT на руки,не требуется,ТОО KMG PVL,Вакансия опубликована 4 мая 2023 в Павлодаре,"Павлодар, улица Машхура Жусупа, 189",полный день,"Полная занятость, полный день",Первичная бухгалтерская документация;Работа с ТМЦ;Основные средства;Акты сверок;,https://almaty.hh.kz/vacancy/80104969
Графический дизайнер,34,до 150 000 KZT на руки,не требуется,ИП Безлепкина Яна Геннадьевна,Вакансия опубликована 18 мая 2023 в Павлодаре,"Павлодар, улица Камзина, 49",полный день,"Частичная занятость, полный день",Adobe Illustrator;CorelDRAW;Графический дизайн;Adobe Photoshop;Дизайн;Дизайн полиграфии;Полиграфический дизайн;Удаленная работа;,https://almaty.hh.kz/vacancy/80635838
Учитель английского,132,з/п не указана,не требуется,ИП WiseFil образовательный центр,Вакансия опубликована 13 мая 2023 в Павлодаре,Алматы,гибкий график,"Полная занятость, гибкий график",Поиск информации в интернет;Работа с оргтехникой;Internet;Коммуникабильность;Умение добиваться поставленных целей;Знание психологии;,https://almaty.hh.kz/vacancy/80385244
Ученик дизайнера-оформителя,34,з/п не указана,не требуется,ТОО фирма Цитадель,Вакансия опубликована 2 мая 2023 в Павлодаре,"Павлодар, улица Академика Чокина, 143",полный день,"Стажировка, полный день",E9,https://almaty.hh.kz/vacancy/79962292
Вахтер,40,от 70 000 KZT до вычета налогов,не требуется,Общ. орг. Учреждение Павлодарский Областной Спортивно-стрелковый Клуб РОО Отан,Вакансия опубликована 2 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80012478
Монтажник натяжных потолков,78,от 250 000 до 300 000 KZT на руки,не требуется,ИП Live (Слепцов А.В.),Вакансия опубликована 11 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80304553
Помощник администратора,8,от 90 000 KZT до вычета налогов,не требуется,ИП САТАБАЕВ АРГЫН КАНАТОВИЧ,Вакансия опубликована 29 апреля 2023 в Павлодаре,"Павлодар, улица Ломова, 21",полный день,"Полная занятость, полный день",Пользователь ПК;Знание компьютера;,https://almaty.hh.kz/vacancy/79940292
